"","GSM1423267","GSM1423268","GSM1423269","GSM1423270","GSM1423271","GSM1423272","GSM1423273","GSM1423274","GSM1423275","GSM1423276","GSM1423277","GSM1423278","GSM1423279","GSM1423280","GSM1423281","GSM1423283","GSM1423285","GSM1423287","GSM1423289","GSM1423291","GSM1423293","GSM1423295","GSM1423297","GSM1423299","GSM1423301","GSM1423303","GSM1423305","GSM1423307","GSM1423311","GSM1423316"
"11717863_a_at",5.861907488,6.309460244,6.021437909,7.310217145,9.27301752,5.993239086,6.397546707,6.637894115,6.234241077,6.662629846,8.582391953,5.951763464,7.25145638,8.059173405,9.395039678,9.068886818,10.70490371,5.389124768,10.22418696,9.844791085,8.718002326,10.41400053,8.177102166,8.573488864,8.089876786,9.619446279,9.277866884,7.465132476,10.44891772,9.45692146
"11732158_a_at",7.370383826,7.305010549,7.2115041,8.685382485,10.3880114,8.173264998,7.252552535,7.477648997,7.432918949,7.324996941,9.007078873,7.696445049,8.314870797,8.842803772,10.9421333,10.40370883,11.1616591,7.428445551,11.51158616,10.46947175,9.281482366,11.53823825,9.256695423,9.468157805,9.603489191,10.69758628,9.429428885,8.746397478,10.84906262,10.31394242
"11758698_x_at",9.876818559,8.569380115,9.944681228,6.820852426,6.21861846,9.284628815,4.062599003,9.892266715,7.097466815,6.213526488,6.749834474,7.627270038,5.36633681,9.199158327,8.460559699,5.692678887,5.445291003,7.543721617,9.645269026,6.65558847,4.713632137,4.837491577,6.594650358,4.683715166,4.664767297,6.347963117,7.133280718,4.918858072,7.096087849,4.019151648
"11757865_a_at",7.002554182,6.904343324,7.098915968,7.983236889,10.10019935,7.411008867,7.122293994,7.243263568,7.112749164,7.424381164,10.01867884,8.705217725,8.790936801,9.834350463,10.4143312,10.37240452,11.27106217,8.878446657,11.62188734,10.73031575,8.929843551,10.71211159,9.156738869,9.898069763,8.90965304,10.8001726,9.461346829,7.955784277,11.05835098,10.56949495
"11725088_at",7.590218598,6.237594329,3.464383248,5.866329927,3.551275782,3.398399141,3.88477473,4.554233984,7.153856703,5.584822407,7.074517986,7.884138656,8.505182599,8.359272581,4.205423947,4.111170373,5.026726015,7.750148022,6.425998982,8.230682831,6.777522325,5.682141023,6.132258965,7.850650044,3.970103159,6.091773149,7.976430791,6.520784063,5.219506349,7.009454386
"11719883_a_at",7.545318703,7.834616316,7.843730443,9.624550238,11.13503102,8.254685611,8.016394487,8.696371965,8.741650137,7.981654278,9.866725119,10.3692778,8.759689366,11.15116422,12.21177365,11.06846132,11.98289711,10.26147223,11.81984123,11.9575533,11.47822503,11.70326186,11.21427935,11.87070197,10.14612906,11.30120045,11.52279227,10.1909067,11.90411576,10.97826558
"11715388_s_at",7.906324578,8.689980596,8.081230721,9.110175403,11.42744255,8.294568197,8.673904864,8.954807621,8.557083021,8.424841997,10.14747234,9.439440302,10.01014834,10.86608657,11.83414411,11.58839769,11.74848461,9.503128328,12.77795108,11.36979425,10.42719702,12.07755719,9.879831247,10.38217801,9.583459658,11.95595462,10.92363122,8.741530739,12.44578982,11.67313771
"11745020_a_at",6.413067752,6.657220915,5.545097569,6.811743176,7.308227697,6.562358388,6.472153148,6.359416946,6.928378097,6.524426883,6.881146832,6.209337661,7.095542587,7.171120745,7.894277901,7.339724889,10.05068564,6.186811964,10.84942482,9.606419868,7.728228872,10.38712415,8.129528467,8.528254923,7.169859093,10.67230755,9.843369811,6.941003318,10.48662225,10.05793065
"11719898_s_at",6.953625533,7.553233244,6.792518137,8.40050481,10.22168719,7.214894343,7.186491893,7.885182374,7.243311855,7.389228975,8.356387906,6.917697463,8.680140838,9.192866657,10.37258877,10.14117961,10.9982977,6.929429556,11.18942714,10.15764653,9.578773048,10.3886886,9.01198893,9.605030669,9.371761907,10.15893354,9.114576492,8.743882186,10.20844127,9.894146345
"11715757_a_at",8.404157737,8.653396422,8.073398013,9.419634409,11.44466488,8.582539468,8.005213793,8.196384996,7.3393712,8.13348963,9.958508259,9.422342877,10.64826675,11.41691841,11.7041384,11.34866407,11.95616602,9.251688177,13.07012795,11.61236965,10.05758391,12.35802466,10.53917503,10.42328475,11.17386132,12.35421113,10.89684157,9.761291079,12.89456091,11.51009984
